name,url
IIT Goa,https://iitgoa.ac.in/faculty-position/
IIT Jammu,https://iitjammu.ac.in/faculty-search-cum-selection
IIT Dharwad,https://www.iitdh.ac.in/faculty-recruitment
IIT (ISM) Dhanbad,https://www.iitism.ac.in/faculty-positions
IIT Tirupati,https://www.iittp.ac.in/facultyrecruitment
IIT Palakkad,https://facap.iitpkd.ac.in/
IIT Mandi,https://iitmandi.ac.in/recruitments/teaching
IIT Indore,https://www3.iiti.ac.in/recruitments/faculty-positions
IIT Ropar,https://www.iitrpr.ac.in/faculty-positions
IIT Patna,https://www.iitp.ac.in/notices
IIT Jodhpur,https://erponline.iitj.ac.in/Jobs/auth/facapps.htm
IIT Hyderabad,https://iith.ac.in/careers/
IIT Gandhinagar,https://iitgn.ac.in/careers/faculty-rolling
IIT Bhubaneswar,https://www.iitbbs.ac.in/index.php/faculty-affairs/faculty-recruitment/
IIT Roorkee,https://iitr.ac.in/Careers/Faculty%20Positions/index.html
IIT Guwahati,https://iitg.ac.in/iitg_page_details?page=61/fac_rec
IIT Delhi,https://home.iitd.ac.in/jobs-iitd/index.php
IIT Kanpur,https://iitk.ac.in/eco/faculty-recruitment
IIT Madras,https://facapp.iitm.ac.in/
IIT Kharagpur,https://erp.iitkgp.ac.in/Jobs/auth/facapps.htm
Testing,https://en.wikipedia.org/wiki/Special:RecentChanges?hidebots=1&hidecategorization=1&hideWikibase=1&limit=50&days=1&urlversion=2
